ApplicationDate,Age,AnnualIncome,CreditScore,EducationLevel,Experience,LoanAmount,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,LoanPurpose,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,MonthlyIncome,NetWorth,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
08-09-2034,40,107913,584,Bachelor,15,14564,Mortgage,385,0.403403137,0.24844134,Home,496,3322,23685,8992.75,17948,0.182336191,429.5974623,0.090583799,1,41.6
09-09-2034,48,118222,570,Bachelor,23,26465,Mortgage,781,0.450136234,0.259807177,Home,2982,594,81669,9851.833333,77295,0.251031412,778.3838736,0.158283623,1,40
10-09-2034,26,41421,564,High School,3,18554,Rent,501,0.34497086,0.434306722,Home,5965,4825,82966,3451.75,38274,0.243613988,984.3202448,0.430309334,0,61
11-09-2034,41,122607,619,Associate,18,41145,Rent,116,0.374922224,0.10882974,Auto,5260,1203,56684,10217.25,22606,0.24934039,1362.736784,0.144729431,0,51
12-09-2034,42,41535,587,Associate,21,7560,Mortgage,337,0.256787013,0.527387662,Debt Consolidation,293,827,78732,3461.25,41027,0.219168412,391.8884579,0.210585326,0,60
13-09-2034,31,100753,473,High School,11,10853,Mortgage,316,0.227619882,0.255351131,Education,3887,8150,66387,8396.083333,5308,0.260301326,299.2467286,0.073277825,1,41.6
14-09-2034,32,25929,596,Associate,10,16887,Mortgage,405,0.511039248,0.513053095,Home,553,358,361194,2160.75,290893,0.215603529,528.0206978,0.431804095,0,55
15-09-2034,42,27496,555,High School,20,21969,Rent,275,0.59432749,0.631368701,Auto,1380,1487,36053,2291.333333,4545,0.244031035,637.1541239,0.398088794,0,61
16-09-2034,26,34398,343,Associate,1,9791,Own,526,0.587119636,0.311237381,Home,2274,494,35385,2866.5,13925,0.356732087,385.5607213,0.318004787,0,59
17-09-2034,44,25313,532,High School,20,33047,Rent,554,0.220675269,0.048684128,Auto,962,1357,49459,2109.416667,8983,0.248876126,1093.673143,0.78110369,0,55
18-09-2034,29,68853,486,Master,6,17457,Other,268,0.078018466,0.201074805,Debt Consolidation,1495,1040,67699,5737.75,56098,0.236118615,919.5923808,0.20697876,1,42.4
19-09-2034,52,108418,519,High School,27,12520,Mortgage,489,0.189294046,0.350580386,Education,1323,5349,6672,9034.833333,3543,0.245948787,1187.493436,0.185558867,1,41.6
20-09-2034,68,58068,602,Associate,47,12351,Own,257,0.506089358,0.256214335,Home,3798,1736,151043,4839,132556,0.236216297,400.0860943,0.135789645,0,55
21-09-2034,29,45176,585,High School,4,50368,Own,628,0.234122112,0.36214732,Debt Consolidation,2437,654,90275,3764.666667,6334,0.228020965,4733.626823,1.42419696,0,70
22-09-2034,46,22619,565,High School,25,16007,Own,376,0.146709855,0.500916181,Debt Consolidation,3793,2035,42242,1884.916667,36829,0.260318615,645.2036737,0.541776563,0,62
23-09-2034,31,46895,505,Bachelor,6,17099,Mortgage,329,0.391855585,0.340271507,Debt Consolidation,1133,2863,135317,3907.916667,90504,0.277399059,529.7115986,0.219736415,0,53
24-09-2034,52,153920,554,High School,30,53578,Own,802,0.249554961,0.36289557,Home,5651,1348,48810,12826.66667,32581,0.259589191,1602.847676,0.187488124,1,41.6
25-09-2034,24,105203,586,Bachelor,5,13420,Mortgage,270,0.586935963,0.257130575,Debt Consolidation,14722,831,187957,8766.916667,141298,0.221041006,423.5703693,0.079112235,1,48
26-09-2034,45,20309,532,High School,21,14268,Rent,448,0.285080296,0.10498179,Debt Consolidation,3628,658,60780,1692.416667,8909,0.261107726,575.7088378,0.604879908,0,65
27-09-2034,29,34043,579,Associate,5,32250,Mortgage,1155,0.416501832,0.344244459,Home,8842,2464,157393,2836.916667,149824,0.284275302,888.2721787,0.72024399,0,52
28-09-2034,37,300000,502,Bachelor,15,25188,Own,416,0.246675273,0.635726752,Debt Consolidation,2366,1865,186561,25000,159227,0.302205794,1072.315691,0.059532628,1,41.6
29-09-2034,27,56245,490,Master,5,9981,Own,337,0.03879189,0.144493207,Education,3338,765,71833,4687.083333,7658,0.23448016,388.6962335,0.154828959,1,41.6
30-09-2034,49,150676,623,Associate,27,11118,Own,538,0.703619943,0.558425954,Education,14509,1648,71710,12556.33333,50489,0.212476575,255.3082788,0.063179931,1,44.8
01-10-2034,29,140788,532,Master,10,13514,Mortgage,461,0.155913134,0.272323407,Education,3884,316,75225,11732.33333,58388,0.22226192,702.5918124,0.099178209,1,37.6
02-10-2034,46,29952,583,Master,28,41426,Rent,459,0.099948115,0.288748594,Auto,6751,384,54847,2496,1058,0.213571875,2135.976867,1.039654194,0,56
03-10-2034,35,59820,465,High School,10,22924,Mortgage,336,0.55168779,0.447101259,Debt Consolidation,2536,1121,142350,4985,124925,0.314886988,845.3678239,0.236984518,0,56
04-10-2034,38,71265,510,Master,17,34324,Mortgage,354,0.241019613,0.122695477,Auto,1139,809,106201,5938.75,74855,0.247812233,1360.747834,0.288738848,0,48
05-10-2034,41,165370,587,Bachelor,15,22355,Mortgage,218,0.046831282,0.393444154,Education,5040,3485,90596,13780.83333,82130,0.197033105,676.7420034,0.064926553,1,40
06-10-2034,30,117015,553,High School,5,17122,Own,618,0.258765206,0.568563148,Debt Consolidation,1855,760,62843,9751.25,41817,0.1804976,619.4288006,0.126899505,1,45.6
07-10-2034,42,34126,577,Master,16,16251,Rent,267,0.42177279,0.387218062,Home,8890,3592,51389,2843.833333,46046,0.224435057,1524.473139,0.629950116,0,68
08-10-2034,58,300000,483,High School,37,33651,Mortgage,450,0.324721424,0.131589458,Other,806,282,63816,25000,47938,0.269423974,1372.769605,0.072910784,1,40.8
09-10-2034,30,52842,559,Associate,11,25158,Rent,586,0.180629324,0.255923237,Home,4871,1890,102934,4403.5,46170,0.232879804,810.3255396,0.317094479,0,51
10-10-2034,54,75458,630,Associate,34,8756,Own,416,0.390960897,0.315339536,Auto,3300,439,62783,6288.166667,42371,0.168516766,251.9833389,0.106228631,1,41.6
11-10-2034,57,15000,591,Bachelor,35,34942,Mortgage,329,0.11563918,0.291933404,Debt Consolidation,1363,714,365710,1250,282520,0.259559598,1045.269048,1.099415238,0,62
12-10-2034,30,80160,545,Bachelor,12,23618,Own,631,0.317992795,0.171550166,Home,5992,4238,54998,6680,17521,0.287405831,745.9537768,0.206130805,0,50
13-10-2034,22,15000,525,High School,0,55458,Rent,572,0.157449604,0.109387948,Debt Consolidation,2585,1752,96109,1250,70838,0.388795761,1856.11732,1.942493856,0,55
14-10-2034,43,41145,539,Associate,21,73258,Own,603,0.398500437,0.225452937,Debt Consolidation,31479,1827,33306,3428.75,27167,0.240872034,2391.878346,0.873460691,0,53
15-10-2034,33,31764,574,High School,13,11768,Mortgage,294,0.334483879,0.200660824,Debt Consolidation,3247,520,26194,2647,6028,0.210563495,443.7007366,0.278693138,0,59
16-10-2034,62,70742,561,High School,42,10825,Mortgage,460,0.138295942,0.325092161,Education,1448,1168,57358,5895.166667,48412,0.238625428,310.5501526,0.130708799,0,53
17-10-2034,40,57616,643,Master,18,13437,Mortgage,568,0.047432599,0.307383059,Home,3474,2114,67740,4801.333333,20737,0.151813955,652.6737361,0.254236407,0,59
18-10-2034,30,65286,549,Bachelor,7,30084,Own,292,0.215493296,0.331320711,Home,4533,1079,199447,5440.5,176660,0.270610566,1032.392085,0.243432053,0,51
19-10-2034,26,83040,553,Associate,5,19663,Own,358,0.432731748,0.63733662,Debt Consolidation,5991,1152,16467,6920,10144,0.257192802,484.7250965,0.121781083,0,59
20-10-2034,53,24864,628,High School,30,21213,Rent,392,0.030390154,0.705937538,Auto,1310,119,43473,2072,29118,0.243430981,503.5662491,0.432223093,0,56
21-10-2034,33,31931,577,Associate,10,18632,Other,728,0.107799311,0.038743458,Home,6445,1952,16841,2660.916667,5374,0.19395822,942.8003855,0.627904063,0,59
22-10-2034,40,25290,440,High School,17,14436,Mortgage,451,0.285037997,0.259082603,Home,827,962,277590,2107.5,261225,0.295227931,462.8310594,0.433609044,0,48
23-10-2034,51,30719,647,Bachelor,30,32411,Mortgage,877,0.220785893,0.283094946,Auto,3177,586,131907,2559.916667,112971,0.256565095,886.1628275,0.6887579,0,46
24-10-2034,34,133021,586,High School,14,29203,Rent,698,0.208784151,0.337968897,Debt Consolidation,2886,11315,135080,11085.08333,121810,0.258162353,721.7955079,0.128081627,1,38.4
25-10-2034,39,22192,468,Associate,13,7034,Mortgage,1166,0.34053176,0.248909019,Auto,3048,263,30367,1849.333333,9593,0.262715797,211.7336616,0.744989363,0,54
26-10-2034,39,32501,525,Bachelor,15,23110,Mortgage,400,0.188628328,0.205621154,Other,533,2723,16562,2708.416667,9099,0.309816372,761.6811172,0.428915215,0,55
27-10-2034,48,220054,576,Doctorate,23,30166,Mortgage,209,0.379873273,0.400473818,Other,7914,1198,163006,18337.83333,119165,0.2047903,2801.333086,0.164159693,1,52
28-10-2034,47,39357,567,High School,25,15923,Mortgage,505,0.105581857,0.31040566,Education,3716,818,30880,3279.75,13385,0.203884375,813.4385918,0.401993625,0,54
29-10-2034,37,39569,516,High School,15,32125,Mortgage,323,0.336008188,0.086278788,Debt Consolidation,16125,2217,18342,3297.416667,6558,0.26497976,1738.799295,0.62527715,0,51
30-10-2034,40,83918,642,Doctorate,17,13485,Own,202,0.231881475,0.349361709,Auto,4549,506,39437,6993.166667,21638,0.178650675,395.1717011,0.085393603,1,40
31-10-2034,35,21332,584,Associate,16,18733,Rent,307,0.113631042,0.208222717,Home,3523,1745,92909,1777.666667,11241,0.24816737,471.9700883,0.438198062,0,68
01-11-2034,22,23813,577,Bachelor,2,44225,Other,384,0.393877609,0.110493647,Debt Consolidation,1198,2014,116422,1984.416667,71914,0.28887,1850.562746,1.12605522,0,56
02-11-2034,43,32682,555,Bachelor,22,27505,Own,1230,0.554636525,0.3623457,Auto,2505,2419,14614,2723.5,1381,0.231905301,884.4494162,0.776372101,0,56
03-11-2034,62,109823,617,Associate,40,14862,Rent,1102,0.165934203,0.423000476,Other,864,268,44172,9151.916667,37488,0.188191426,384.0509925,0.162375931,1,43.2
04-11-2034,29,56973,565,High School,8,12430,Rent,302,0.179079578,0.426872127,Home,4549,403,34353,4747.75,17141,0.231603885,320.9362429,0.131206623,0,55
05-11-2034,30,23945,549,High School,7,28454,Own,433,0.425469012,0.085154895,Home,3050,373,249155,1995.416667,211979,0.262840745,789.0418358,0.61242439,0,55
06-11-2034,29,39239,595,Bachelor,6,78496,Rent,315,0.113654604,0.365606975,Home,1520,843,111013,3269.916667,84878,0.257324902,4218.35467,1.386382325,0,52
07-11-2034,48,98894,658,Master,23,16245,Rent,364,0.497402253,0.268788527,Other,2339,667,134582,8241.166667,125711,0.202195407,327.6305822,0.083923868,1,39.2
08-11-2034,45,15000,609,Bachelor,18,61174,Own,262,0.374063619,0.366316431,Debt Consolidation,1697,3523,19055,1250,9431,0.268807284,1863.609649,1.700487719,0,53
09-11-2034,38,52728,578,Associate,18,19159,Rent,451,0.453220847,0.423968734,Home,2763,585,119101,4394,105777,0.3181908,552.8404632,0.228457092,0,53
10-11-2034,28,63538,525,High School,5,9066,Rent,556,0.089250726,0.435732425,Education,940,427,30999,5294.833333,21493,0.202369888,462.4716255,0.192351971,1,48.8
11-11-2034,41,29978,640,Associate,18,16285,Own,363,0.151125997,0.168372564,Home,832,2133,197058,2498.166667,186045,0.170351502,805.442344,0.467719932,0,45
12-11-2034,21,74309,621,Master,0,18741,Mortgage,548,0.067046284,0.178166688,Home,9228,1621,99592,6192.416667,86400,0.219724866,416.0402732,0.155680783,1,37.6
13-11-2034,41,58832,481,Master,21,18504,Other,255,0.339211945,0.446618596,Other,7231,691,78471,4902.666667,67368,0.318368339,686.1677467,0.191970577,0,57
14-11-2034,50,178337,626,Associate,29,11833,Own,330,0.268663453,0.467917222,Other,6750,368,80261,14861.41667,69850,0.190738311,307.4354543,0.042891971,1,49.6
15-11-2034,24,33382,455,Associate,1,59091,Rent,375,0.163166492,0.168953803,Debt Consolidation,2473,2142,150861,2781.833333,131163,0.308675727,1943.403299,0.833408411,0,46
16-11-2034,21,62510,466,Bachelor,0,20784,Mortgage,567,0.176457456,0.358795175,Debt Consolidation,1772,824,166014,5209.166667,92978,0.2872804,867.8963634,0.275456029,0,52
17-11-2034,58,24577,617,Associate,35,14856,Rent,525,0.229171374,0.497528396,Debt Consolidation,1074,2448,55525,2048.083333,9585,0.171110392,1355.720767,0.918283322,0,56
18-11-2034,32,53414,587,Bachelor,10,59363,Mortgage,617,0.202416829,0.400807796,Home,288,2826,68207,4451.166667,36564,0.360958528,1838.095551,0.551562261,0,57
19-11-2034,53,80178,525,Associate,30,31337,Mortgage,341,0.225658177,0.349071045,Education,4777,967,68005,6681.5,57744,0.296340985,833.6802419,0.175810857,0,57
20-11-2034,38,35962,561,High School,17,27000,Own,905,0.39317939,0.106287857,Home,2111,112,32677,2996.833333,3856,0.256624292,694.8911887,0.533860582,0,51
21-11-2034,38,95552,567,High School,15,9513,Other,186,0.100051585,0.143130685,Auto,5396,483,17341,7962.666667,9982,0.189588787,348.5109672,0.067127131,1,38.4
22-11-2034,45,87584,537,High School,24,11577,Mortgage,586,0.337427209,0.209282397,Home,1543,8157,81481,7298.666667,2993,0.234134267,608.7046124,0.163688063,1,40.8
23-11-2034,29,44608,603,High School,6,27562,Own,570,0.325103006,0.574818604,Education,2308,168,48275,3717.333333,45618,0.221867409,764.1617275,0.358902904,0,58
24-11-2034,41,39183,592,High School,16,35651,Mortgage,1098,0.23375735,0.592266346,Other,857,701,4440,3265.25,8677,0.214878783,1352.100777,0.75035626,0,62
25-11-2034,35,15000,569,High School,12,35250,Mortgage,389,0.011464598,0.181668912,Education,2348,3143,97523,1250,90802,0.232089469,1133.853579,1.218282863,0,50
26-11-2034,24,27577,526,High School,1,54792,Mortgage,731,0.167024833,0.273181946,Auto,4580,3227,17851,2298.083333,2638,0.27240156,1885.871449,1.138719128,0,53
27-11-2034,44,73475,578,High School,20,10656,Mortgage,829,0.115812381,0.256002397,Debt Consolidation,8226,108,95706,6122.916667,73185,0.19149818,391.4141857,0.199319091,1,42.4
28-11-2034,36,38045,555,Associate,16,11627,Rent,506,0.316824957,0.328086041,Education,789,3158,414645,3170.416667,404435,0.240750386,306.631915,0.256317071,1,39.2
29-11-2034,38,47955,569,Bachelor,12,27940,Other,250,0.160824501,0.704688985,Auto,3243,145,108826,3996.25,80914,0.264069896,843.281878,0.273576948,0,56
30-11-2034,25,39026,521,Master,5,25123,Mortgage,440,0.20292718,0.145671495,Home,2564,335,280114,3252.166667,227056,0.234233335,978.0562311,0.436034305,0,50
01-12-2034,59,25268,574,Associate,35,24535,Mortgage,246,0.200726471,0.319463152,Debt Consolidation,9623,482,79063,2105.666667,53300,0.194818813,2266.708057,1.19330761,0,61
02-12-2034,50,83490,623,High School,26,8375,Other,653,0.372664584,0.106313881,Auto,2084,2198,29104,6957.5,2690,0.175465955,416.2819071,0.153687662,1,39.2
03-12-2034,51,24317,495,Associate,30,36702,Other,608,0.533221741,0.116073906,Debt Consolidation,5013,3197,36273,2026.416667,26848,0.257637676,1474.131647,1.027494336,0,53
04-12-2034,36,45811,567,Master,11,29892,Rent,160,0.356016323,0.395904958,Auto,1521,974,47622,3817.583333,10020,0.244508896,1179.836791,0.350964648,0,55
05-12-2034,19,49636,441,Associate,0,33608,Rent,359,0.405745817,0.145537425,Home,4538,2223,102254,4136.333333,88272,0.3473176,1115.736171,0.356532236,0,60
06-12-2034,63,39108,633,High School,37,24623,Own,269,0.344427073,0.400914299,Home,1463,2606,89634,3259,67869,0.230888057,564.3289726,0.25570082,0,52
07-12-2034,39,145168,594,Master,16,17936,Own,451,0.033478006,0.559817977,Home,5406,1049,119173,12097.33333,108283,0.186872481,1650.244384,0.173694841,1,44.8
08-12-2034,31,153227,607,High School,9,13032,Own,793,0.569582198,0.522554358,Home,17875,1624,41818,12768.91667,10402,0.195950828,342.3387281,0.088914256,1,46.4
09-12-2034,45,43616,660,Doctorate,24,30028,Other,587,0.647735039,0.356117008,Home,23962,282,320648,3634.666667,290434,0.206179591,923.678629,0.415630584,0,45
10-12-2034,54,43169,659,Master,35,12122,Own,386,0.112328733,0.259898978,Debt Consolidation,2607,570,43302,3597.416667,7105,0.145767754,1091.691879,0.410764728,1,39.2
11-12-2034,39,37010,637,Bachelor,17,26815,Mortgage,160,0.239188293,0.070561186,Debt Consolidation,4623,1229,36465,3084.166667,11831,0.258300136,693.026486,0.276582487,0,52
12-12-2034,55,103221,611,Bachelor,33,6004,Own,770,0.23594138,0.521863939,Debt Consolidation,6339,2087,131508,8601.75,3901,0.204159155,184.0370071,0.110911966,1,45.6
13-12-2034,52,63264,608,High School,29,29158,Mortgage,298,0.273565382,0.349770218,Debt Consolidation,2754,7726,102685,5272,64705,0.22015116,732.8892647,0.195540452,0,49
14-12-2034,27,73885,622,Bachelor,7,21607,Rent,492,0.246644281,0.371236641,Home,692,476,154445,6157.083333,147456,0.191614979,1090.875116,0.257081971,1,37.6
15-12-2034,31,84708,547,Associate,9,72534,Mortgage,279,0.437400523,0.39855744,Home,2287,2243,17001,7059,15021,0.309457787,2651.708735,0.415173358,0,64
16-12-2034,51,32655,617,Associate,27,49598,Other,655,0.364714537,0.519958156,Home,3952,1440,266622,2721.25,254783,0.238424267,1422.300868,0.763362744,0,50
17-12-2034,18,50004,536,High School,0,34902,Rent,402,0.218146322,0.219678776,Debt Consolidation,3004,474,109346,4167,78426,0.367346728,1097.88032,0.359942481,0,56
18-12-2034,38,47184,571,High School,19,12562,Own,173,0.267712724,0.12189236,Home,1453,725,38916,3932,30948,0.22163751,396.8969501,0.144938187,0,54
19-12-2034,22,65991,593,Bachelor,0,14991,Mortgage,345,0.487816212,0.098341167,Home,692,3809,19927,5499.25,15807,0.180263442,748.603046,0.198864035,1,40.8
20-12-2034,34,82233,506,Associate,12,62184,Mortgage,379,0.31260118,0.084850378,Other,11236,2716,66923,6852.75,39479,0.297544299,1767.768641,0.313271116,0,49
21-12-2034,36,32917,477,Associate,14,46349,Rent,608,0.115407695,0.15069601,Auto,4389,2689,180838,2743.083333,160488,0.29986995,1668.491247,0.829902329,0,46
22-12-2034,35,28965,566,Associate,17,20207,Rent,627,0.159697236,0.363321118,Home,3976,3347,294059,2413.75,290804,0.245345974,482.2356762,0.459548701,0,49
23-12-2034,33,29383,626,Bachelor,8,18045,Rent,345,0.209450065,0.711235704,Other,3568,5460,80238,2448.583333,53135,0.186524707,464.6533799,0.330661966,0,59
24-12-2034,26,117974,492,Associate,3,23991,Mortgage,364,0.347847127,0.203449766,Auto,610,706,38938,9831.166667,2094,0.324288982,812.360089,0.119656204,1,40.8
25-12-2034,67,61697,640,Bachelor,48,41811,Mortgage,287,0.395556065,0.523622517,Debt Consolidation,1110,377,236759,5141.416667,228292,0.269287842,1110.405641,0.271793891,0,51
26-12-2034,62,25282,600,Bachelor,39,5161,Mortgage,636,0.050693893,0.079572337,Home,6032,366,137493,2106.833333,114161,0.246441274,137.8978916,0.367327533,0,44
27-12-2034,26,111421,551,Master,3,32803,Own,321,0.249433256,0.045315079,Debt Consolidation,4144,1540,30743,9285.083333,24749,0.262032034,1325.206595,0.177295834,0,49
28-12-2034,58,19590,638,Bachelor,33,36945,Rent,342,0.734951115,0.41081814,Auto,408,3233,129469,1632.5,85580,0.18910112,1352.578205,1.038026465,0,67
29-12-2034,35,20014,565,Master,13,39617,Mortgage,307,0.203598295,0.413090699,Home,712,898,57759,1667.833333,4794,0.270806208,1012.939758,0.791409868,0,58
30-12-2034,41,43076,613,Associate,18,12350,Mortgage,379,0.159140758,0.225899202,Auto,2580,212,161578,3589.666667,84207,0.228876345,316.8477846,0.193847465,0,47
31-12-2034,39,38863,592,High School,18,58392,Mortgage,222,0.077539084,0.042563574,Home,734,743,210324,3238.583333,25673,0.237287329,1670.637627,0.584402942,0,50
01-01-2035,32,51970,572,Bachelor,8,24725,Own,278,0.532421744,0.140764636,Education,1602,1069,92163,4330.833333,40958,0.262738375,744.2917069,0.236049653,0,51
02-01-2035,51,15000,497,High School,30,24794,Mortgage,390,0.400707178,0.139950803,Home,8524,1367,15774,1250,6386,0.246929408,817.8573306,0.966285864,0,59
03-01-2035,41,65051,478,Master,20,35577,Mortgage,386,0.40891002,0.218620748,Home,5040,99,23688,5420.916667,13088,0.258450318,1913.915921,0.424266976,0,53
04-01-2035,34,111673,549,Associate,12,28131,Other,296,0.069201505,0.519593827,Education,894,1273,165010,9306.083333,121638,0.210034291,1059.886848,0.14569898,1,42.4
05-01-2035,24,27051,584,Bachelor,4,31265,Other,165,0.261698698,0.741388551,Education,1385,155,22425,2254.25,10667,0.207473944,1173.859886,0.593926976,0,60
06-01-2035,29,34850,538,Bachelor,3,38563,Rent,241,0.687527305,0.491722053,Auto,1250,2227,51170,2904.166667,8327,0.235458115,3638.030851,1.335677768,0,59
07-01-2035,20,21322,496,High School,0,16913,Mortgage,506,0.223405945,0.332389709,Debt Consolidation,235,387,4670,1776.833333,7954,0.268854953,475.3499171,0.552302739,0,59
08-01-2035,40,72059,647,Bachelor,18,12087,Rent,593,0.488626559,0.119846799,Auto,2164,512,62237,6004.916667,34217,0.1771814,305.0800565,0.149557455,1,38.4
09-01-2035,25,24099,590,Bachelor,5,8664,Rent,331,0.193472593,0.364596829,Other,1893,2171,69139,2008.25,49317,0.225910148,242.2107011,0.28542796,0,55
10-01-2035,36,27841,513,Doctorate,13,32753,Rent,372,0.294817824,0.333109775,Auto,12849,834,31378,2320.083333,2923,0.236083104,1278.267338,0.711296579,0,57
11-01-2035,56,38326,521,Associate,34,38914,Other,653,0.363264072,0.453806004,Other,1375,837,114986,3193.833333,106856,0.270015229,1188.287155,0.576513225,0,57
12-01-2035,54,74291,666,Bachelor,29,15775,Own,550,0.052053748,0.108768788,Home,610,83,56947,6190.916667,47659,0.15652609,769.7771921,0.213179609,1,37.6
13-01-2035,39,60928,565,Master,18,19034,Mortgage,261,0.368694498,0.398387627,Home,715,5598,46670,5077.333333,4995,0.209708586,589.1027372,0.167430949,0,58
14-01-2035,38,32141,611,High School,14,23143,Mortgage,383,0.314074772,0.469499816,Home,3768,487,201766,2678.416667,195248,0.186798711,596.2729678,0.365616366,0,50
15-01-2035,62,76156,614,High School,39,26389,Own,362,0.433299208,0.018028522,Auto,5372,713,102815,6346.333333,82761,0.249091227,709.3743161,0.168817845,0,46
16-01-2035,46,57023,638,High School,25,18358,Rent,444,0.318966511,0.468188596,Home,1260,1449,5557,4751.916667,6115,0.187621056,923.2809397,0.287732516,0,56
17-01-2035,36,22126,582,Doctorate,13,13127,Rent,226,0.134459531,0.657040397,Debt Consolidation,1941,287,90882,1843.833333,59973,0.23364689,510.6410255,0.399516058,0,60
18-01-2035,22,15000,586,High School,0,20939,Rent,180,0.083733524,0.520607511,Other,6008,1008,77220,1250,64165,0.30244769,555.7789365,0.588623149,0,57
19-01-2035,44,86232,591,Bachelor,21,18497,Rent,267,0.44544505,0.265312221,Debt Consolidation,2564,1738,90323,7186,45030,0.197635911,487.627421,0.105013557,1,43.2
20-01-2035,49,37858,595,Associate,26,21891,Rent,797,0.366228418,0.155246816,Other,1479,53,190147,3154.833333,182112,0.249507139,725.2410627,0.482510771,0,48
21-01-2035,32,19130,444,High School,11,28897,Rent,469,0.408806009,0.026521488,Home,1986,3923,65920,1594.166667,6675,0.330950644,927.8001462,0.876194551,0,53
22-01-2035,43,166202,642,Master,18,24595,Mortgage,776,0.189982099,0.431372339,Home,6784,3127,25326,13850.16667,22659,0.171611866,878.8531131,0.119482541,1,55.2
23-01-2035,35,116372,547,Associate,10,12839,Own,326,0.105661115,0.056526548,Auto,4595,223,223676,9697.666667,5563,0.221709931,405.6993343,0.075451071,1,38.4
24-01-2035,37,108243,541,Bachelor,15,32455,Other,251,0.244633318,0.559860766,Auto,11606,502,62875,9020.25,59697,0.261666897,974.9232537,0.135907902,0,69
25-01-2035,18,48209,594,High School,0,39732,Mortgage,334,0.084681281,0.36795712,Debt Consolidation,4012,2945,176055,4017.416667,87847,0.200008298,3680.569968,0.999291411,0,54
26-01-2035,37,15000,525,Associate,12,17267,Own,124,0.31945732,0.477440008,Debt Consolidation,3317,1189,27200,1250,8948,0.235804336,673.6356638,0.638108531,0,59
27-01-2035,51,109356,645,Bachelor,31,82465,Rent,254,0.085581878,0.583912926,Auto,1261,313,9544,9113,10254,0.229750878,3191.126535,0.378045269,0,53
28-01-2035,32,26721,565,Associate,8,13760,Mortgage,467,0.219397149,0.376912052,Education,1057,1027,186800,2226.75,135984,0.207955942,516.9659404,0.441884334,0,52
29-01-2035,40,37670,566,Bachelor,19,25098,Mortgage,502,0.257434726,0.055569489,Home,2542,452,134770,3139.166667,88566,0.209925349,777.0762419,0.407457258,0,49
30-01-2035,30,71441,512,High School,4,15537,Mortgage,292,0.467470924,0.219015937,Home,2218,2251,223095,5953.416667,213388,0.310893732,513.1205071,0.135236714,0,49
31-01-2035,44,180853,503,Master,21,24904,Rent,465,0.275167879,0.191121694,Debt Consolidation,4094,1240,29896,15071.08333,2687,0.305524419,696.3864984,0.077060585,1,38.4
01-02-2035,37,125494,589,Bachelor,12,7354,Mortgage,258,0.45183814,0.759138825,Debt Consolidation,31092,1189,34472,10457.83333,13285,0.244120548,174.9074265,0.041395518,1,45.6
02-02-2035,28,51340,603,Bachelor,7,20958,Mortgage,360,0.167115433,0.414603958,Home,239,81,310715,4278.333333,285523,0.250538863,615.8073086,0.228081178,0,50
03-02-2035,55,73391,548,High School,35,17781,Own,211,0.620657208,0.122780975,Home,31726,4437,36163,6115.916667,25921,0.2600713,958.007618,0.191141849,0,56
04-02-2035,51,23139,598,Associate,29,23412,Own,262,0.062620482,0.308858821,Education,20222,365,38789,1928.25,5703,0.191413585,2159.149598,1.255620173,0,56
05-02-2035,32,15000,479,High School,9,20917,Own,462,0.161711519,0.334209899,Debt Consolidation,1098,15829,46710,1250,45787,0.273544663,721.2968663,0.946637493,0,55
06-02-2035,45,89591,631,Associate,24,27773,Own,411,0.278530203,0.32704453,Home,3051,2132,170188,7465.916667,148113,0.180655762,816.7838544,0.164451856,1,39.2
07-02-2035,46,66553,516,Associate,22,13196,Other,446,0.103832177,0.356505321,Other,3156,1542,42780,5546.083333,23517,0.334513799,408.4111902,0.154056681,0,65
08-02-2035,47,26152,553,Master,25,27599,Mortgage,348,0.099253831,0.266115886,Other,1498,252,56342,2179.333333,46735,0.275154822,851.2683108,0.550291363,0,53
09-02-2035,19,52109,606,Doctorate,1,5982,Other,455,0.105196482,0.157245029,Debt Consolidation,4111,1854,52315,4342.416667,6069,0.185001037,177.2883571,0.145607482,1,36.8
10-02-2035,52,79298,606,Bachelor,28,20885,Rent,186,0.276969245,0.038269279,Debt Consolidation,5475,608,29545,6608.166667,12933,0.236221777,815.2407391,0.151515661,0,47
11-02-2035,33,76596,595,Bachelor,12,32757,Rent,484,0.272500487,0.469271444,Auto,433,701,95430,6383,71959,0.202888376,3038.958574,0.551928337,0,55
12-02-2035,35,67268,588,Associate,13,40410,Mortgage,1332,0.299213407,0.114505824,Auto,5701,956,32806,5605.666667,7358,0.314009366,1154.096541,0.443497034,0,59
13-02-2035,71,48352,647,High School,45,28787,Mortgage,1007,0.281117275,0.108479728,Education,445,236,59679,4029.333333,52437,0.209329034,705.1850253,0.424930102,0,46
14-02-2035,43,30351,629,Master,17,30771,Mortgage,352,0.517645255,0.314664826,Home,1939,1887,13055,2529.25,10947,0.198718511,934.273012,0.508559064,0,53
15-02-2035,35,55714,591,Bachelor,14,18533,Other,322,0.813669407,0.213844055,Home,670,6303,241960,4642.833333,226493,0.2376396,977.6780398,0.27993209,0,57
